"objectid","oberflur_nummer","art_txt","subart_txt","verlegejahr","eigentuemer_txt","geometry"
"1730","1933","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2685855.2 1251341.5)"
"1731","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2685999 1251194.5)"
"1732","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2685916 1251155.2)"
"1733","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2685809.8 1251036.6)"
"1734","2549","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2679735.2 1247468.9)"
"1735","2548","Oberflurhydrant","Zweiarmig","1993","öffentlich","POINT (2680536 1249409.4)"
"1736","1483","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2683107 1247938)"
"1737","","Unterflurhydrant","Zweiarmig","1962","öffentlich","POINT (2680662.2 1249664.4)"
"1738","1439","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2683214 1247910.2)"
"1739","1739","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679688.2 1247649.5)"
"1740","4004","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2683197.2 1247964.1)"
"1741","1738","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679569 1247658.6)"
"1742","1305","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2683297.8 1247851.4)"
"1743","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2683320 1247855.9)"
"1744","102","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2683380.8 1248115.6)"
"1745","1740","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679743.2 1247620.5)"
"1746","1741","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679712 1247578.6)"
"1747","2538","Oberflurhydrant","Zweiarmig","1993","öffentlich","POINT (2679755.5 1247798.5)"
"1748","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2679672.8 1247730.8)"
"1749","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2679612 1247743.4)"
"1750","1163","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2684145 1247770.9)"
"1751","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2679509.2 1247783.5)"
"1752","1011","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2684224.5 1247895.4)"
"1753","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2684081.2 1247969)"
"1754","1604","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2682092.2 1248154)"
"1755","1233","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2684214 1248131.1)"
"1756","1232","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2684258 1248050.8)"
"1757","516","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2681981.8 1248334.9)"
"1758","1655","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2679704.5 1247853)"
"1759","1705","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679586 1247837.1)"
"1760","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2680531.8 1252472)"
"1761","","Unterflurhydrant","Zweiarmig","1945","öffentlich","POINT (2679044.8 1247295.6)"
"1762","","Unterflurhydrant","Zweiarmig","1945","öffentlich","POINT (2678997.8 1247321.9)"
"1763","1512","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2679020.2 1247460.6)"
"1764","1517","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2679062.5 1247439)"
"1765","1506","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2678957.2 1247536.8)"
"1766","2566","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2678982 1247590.1)"
"1767","2567","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2679040.5 1247678.2)"
"1768","2568","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2679063.8 1247686.6)"
"1769","1523","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2678904 1247562.6)"
"1770","","Unterflurhydrant","Zweiarmig","1938","öffentlich","POINT (2678922.2 1247631.5)"
"1771","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2682347 1248578.1)"
"1772","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678950 1247670.4)"
"1773","746","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682329 1248719.9)"
"1774","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2682358.8 1248621.8)"
"1775","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2682349.5 1248623.4)"
"1776","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2682406.2 1248706.6)"
"1777","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2682416 1248708.1)"
"1778","556","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678100.2 1247280.1)"
"1779","1234","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2684239.5 1248191.6)"
"1780","747","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682361 1248765.2)"
"1781","","Unterflurhydrant","Zweiarmig","1964","öffentlich","POINT (2682455.8 1248867.4)"
"1782","","Unterflurhydrant","Zweiarmig","1964","öffentlich","POINT (2682408.8 1248916.4)"
"1783","1595","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2682241 1248785.1)"
"1784","1596","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2682283.2 1248876.8)"
"1785","2337","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2681566.8 1242983)"
"1786","2338","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2681485.8 1242900)"
"1787","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2685172.2 1248204.8)"
"1788","","Unterflurhydrant","Zweiarmig","1912","öffentlich","POINT (2685119.8 1248232.6)"
"1789","","Unterflurhydrant","Zweiarmig","1912","öffentlich","POINT (2685067 1248257)"
"1791","","Unterflurhydrant","Zweiarmig","1940","öffentlich","POINT (2679098.2 1247416.1)"
"1792","2531","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2682067.2 1248994.8)"
"1793","1652","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2682040.2 1248940.5)"
"1794","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681342.2 1248554.9)"
"1795","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2685207.2 1248163.1)"
"1796","","Unterflurhydrant","Zweiarmig","1913","öffentlich","POINT (2685309.2 1248104)"
"1797","","Unterflurhydrant","Zweiarmig","1913","öffentlich","POINT (2685298 1248058.6)"
"1798","","Unterflurhydrant","Zweiarmig","1913","öffentlich","POINT (2685288.2 1248010.6)"
"1799","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680138 1247334.9)"
"1800","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2680173.5 1247309.1)"
"1801","2537","Oberflurhydrant","Zweiarmig","1993","öffentlich","POINT (2680242.8 1247491.4)"
"1802","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2680218.8 1247440.1)"
"1803","","Unterflurhydrant","Zweiarmig","1972","öffentlich","POINT (2678582.8 1248303.5)"
"1804","1176","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2684676.5 1247376.1)"
"1805","1121","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2684706.2 1247438.9)"
"1806","","Unterflurhydrant","Zweiarmig","1963","öffentlich","POINT (2680156.2 1247691.4)"
"1807","","Unterflurhydrant","Zweiarmig","1963","öffentlich","POINT (2680104.2 1247622.5)"
"1808","1115","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2684599.5 1247427.4)"
"1809","","Unterflurhydrant","Zweiarmig","1953","öffentlich","POINT (2680316.5 1247581.4)"
"1810","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2680290 1247553.6)"
"1811","1006","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684791.5 1247555.2)"
"1812","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2684811 1247455.5)"
"1813","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2684843.5 1247427.9)"
"1814","1007","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684869.5 1247516.4)"
"1815","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680373.5 1247581.5)"
"1816","","Unterflurhydrant","Zweiarmig","1958","öffentlich","POINT (2680382.2 1247649.2)"
"1817","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680262 1247683.1)"
"1818","1001","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684698.2 1247771)"
"1819","1002","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684730.5 1247758)"
"1820","1003","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684755.8 1247669.6)"
"1821","1004","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684787.5 1247622.2)"
"1822","1005","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684812 1247573.5)"
"1823","1120","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2684847 1247636.1)"
"1824","1119","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2684895 1247700.1)"
"1825","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680244.5 1247732.2)"
"1826","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680201.5 1247759.5)"
"1827","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2680187 1247805.1)"
"1828","1701","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2680171.2 1247941.1)"
"1829","1702","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2680180.8 1247925.6)"
"1830","1700","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2680275 1247947.2)"
"1831","1699","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2680357.5 1247956.4)"
"1832","1747","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2679581.8 1248040.6)"
"1833","2343","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2682702 1245908.6)"
"1834","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2680203 1248049)"
"1835","","Unterflurhydrant","Zweiarmig","1964","öffentlich","POINT (2680265.5 1248062.8)"
"1836","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2680324.5 1248057.8)"
"1837","","Unterflurhydrant","Zweiarmig","1955","öffentlich","POINT (2684974.2 1247410.4)"
"1838","1658","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2679534.5 1247883.5)"
"1839","1008","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2684948.2 1247488.1)"
"1840","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2684995.8 1247533)"
"1841","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2685049.2 1247578)"
"1842","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2686326 1251425.5)"
"1843","1657","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2679567 1247942.4)"
"1844","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2686060.5 1251546.2)"
"1845","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2686105.8 1251503.6)"
"1846","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2679557.8 1247755.1)"
"1847","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2686299 1251022.1)"
"1848","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2686257.5 1251229.4)"
"1849","1381","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2682662 1247760.6)"
"1850","1411","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2682724.5 1247788.9)"
"1851","553","Oberflurhydrant","Zweiarmig","1980","öffentlich","POINT (2678735.5 1247565.6)"
"1852","","Unterflurhydrant","Zweiarmig","1984","öffentlich","POINT (2682700.2 1247941.9)"
"1853","419","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2682516.8 1248010.4)"
"1854","554","Oberflurhydrant","Zweiarmig","1980","öffentlich","POINT (2678750 1247613.9)"
"1855","551","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678787.5 1247637)"
"1856","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678818.2 1247598)"
"1857","","Unterflurhydrant","Zweiarmig","1916","öffentlich","POINT (2682614.2 1247817.8)"
"1858","","Unterflurhydrant","Zweiarmig","1916","öffentlich","POINT (2682581.8 1247770)"
"1859","1472","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2682642.5 1247867.6)"
"1860","1734","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2678875.5 1247653.9)"
"1861","326","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2682565.2 1248056)"
"1862","327","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2682528.2 1248091.2)"
"1863","399","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2682480.2 1248126.8)"
"1864","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2678847.8 1247567.8)"
"1865","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678806.8 1247547.5)"
"1866","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678771 1247520)"
"1867","555","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2678730.5 1247476.8)"
"1868","2550","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2680114.8 1247901.1)"
"1869","1045","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2685885.8 1248785.6)"
"1870","670","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2680024.5 1247979.5)"
"1871","1703","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2680067 1247967.4)"
"1872","2348","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2682692 1246458.5)"
"1873","2333","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2682478.2 1246416)"
"1874","1044","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2685956 1248841.6)"
"1875","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2678840 1247768)"
"1876","","Unterflurhydrant","Zweiarmig","1961","öffentlich","POINT (2678802.5 1247802.2)"
"1877","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2678759 1247833.4)"
"1878","","Unterflurhydrant","Zweiarmig","1968","öffentlich","POINT (2678863.2 1247827.8)"
"1879","","Unterflurhydrant","Zweiarmig","1951","öffentlich","POINT (2678831.2 1247872.6)"
"1880","2506","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2679844.5 1247752.8)"
"1881","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2679836 1247849.6)"
"1882","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2679891.5 1247826.9)"
"1883","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2679871 1247893)"
"1884","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2679900.5 1247936.2)"
"1885","","Unterflurhydrant","Zweiarmig","1978","öffentlich","POINT (2679929.8 1247979)"
"1886","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2678758.2 1247962)"
"1887","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2678728.8 1248015.9)"
"1888","","Unterflurhydrant","Zweiarmig","1944","öffentlich","POINT (2678749.8 1248055)"
"1889","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2681080.2 1253140.8)"
"1890","","Unterflurhydrant","Zweiarmig","1939","öffentlich","POINT (2678652.8 1247954.1)"
"1891","","Unterflurhydrant","Zweiarmig","1937","öffentlich","POINT (2678712.2 1247884.2)"
"1892","","Unterflurhydrant","Zweiarmig","1969","öffentlich","POINT (2680946.2 1252914.6)"
"1893","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2686392.5 1247737.5)"
"1894","704","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2679898 1248047.9)"
"1895","671","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2679940.5 1248029.4)"
"1896","705","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2679980.8 1247989.4)"
"1897","719","Oberflurhydrant","Zweiarmig","1985","öffentlich","POINT (2680493.2 1247302.2)"
"1898","1682","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2678538.2 1248068.8)"
"1899","","Unterflurhydrant","Zweiarmig","1983","öffentlich","POINT (2684330.2 1247616.1)"
"1900","","Unterflurhydrant","Zweiarmig","1983","öffentlich","POINT (2684376.2 1247640.6)"
"1901","2013","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2684443.2 1247624.6)"
"1902","659","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680674.5 1247961)"
"1903","660","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680671.5 1247978.6)"
"1904","658","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680610.2 1247971.9)"
"1905","657","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680617.2 1247956.8)"
"1906","656","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2680553.2 1247967.9)"
"1907","665","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680494.5 1247965.6)"
"1908","654","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680434.8 1247946)"
"1909","655","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2680440.2 1247959.4)"
"1910","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2680382.5 1248068.8)"
"1911","","Unterflurhydrant","Zweiarmig","1952","öffentlich","POINT (2680441.2 1248066.2)"
"1912","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2680488.5 1248076.6)"
"1913","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2680580.5 1248082.9)"
"1914","","Unterflurhydrant","Zweiarmig","1970","öffentlich","POINT (2680627.2 1248072.9)"
"1915","","Unterflurhydrant","Zweiarmig","1944","öffentlich","POINT (2680675.8 1248046.5)"
"1916","","Unterflurhydrant","Zweiarmig","1947","öffentlich","POINT (2680535 1248073.1)"
"1917","2834","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2684508 1252137.6)"
"1918","2832","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2684213.8 1252124.1)"
"1919","2833","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2684368 1252134.6)"
"1920","2835","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2684661 1251433.1)"
"1921","2829","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2683441.8 1251936.1)"
"1922","2813","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2682698.8 1251097.4)"
"1923","2814","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2682809.8 1251156.4)"
"1924","1659","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2679908.5 1247740.4)"
"1925","570","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2680030.5 1247527.1)"
"1926","569","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2680051 1247569.1)"
"1927","571","Oberflurhydrant","Zweiarmig","1983","öffentlich","POINT (2679991 1247569)"
"1928","1743","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2679915.8 1247597.4)"
"1929","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2679827.8 1247615.8)"
"1930","1742","Oberflurhydrant","Zweiarmig","1991","öffentlich","POINT (2679817.8 1247594.9)"
"1931","","Unterflurhydrant","Einarmig","1935","öffentlich","POINT (2679504.8 1247904.5)"
"1932","1656","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2679628.8 1247889.4)"
"1933","2580","Oberflurhydrant","Zweiarmig","1995","öffentlich","POINT (2679510.5 1247924.6)"
"1934","","Unterflurhydrant","Zweiarmig","1944","öffentlich","POINT (2680736.5 1248050.5)"
"1935","","Unterflurhydrant","Zweiarmig","1970","öffentlich","POINT (2680718.2 1248003.8)"
"1936","2795","Oberflurhydrant","Zweiarmig","1976","öffentlich","POINT (2685451.8 1251745.2)"
"1937","2794","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2685506 1251720.4)"
"1938","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2680872.8 1247958.5)"
"1939","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2680910.2 1248002)"
"1940","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2680837.2 1247918)"
"1941","2775","Oberflurhydrant","Zweiarmig","1993","öffentlich","POINT (2684588.5 1252527.9)"
"1942","1526","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2680878.5 1248066.1)"
"1943","","Unterflurhydrant","Zweiarmig","1931","öffentlich","POINT (2680938 1247814.6)"
"1944","","Unterflurhydrant","Zweiarmig","1983","öffentlich","POINT (2681728.5 1247722.1)"
"1945","","Unterflurhydrant","Zweiarmig","1883","öffentlich","POINT (2681753.5 1247772)"
"1946","","Unterflurhydrant","Zweiarmig","1962","öffentlich","POINT (2686158.5 1247730.2)"
"1947","","Unterflurhydrant","Zweiarmig","1931","öffentlich","POINT (2681692.8 1248083.8)"
"1948","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2685545.8 1247459.2)"
"1949","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2685664.8 1247447.9)"
"1950","","Unterflurhydrant","Zweiarmig","1970","öffentlich","POINT (2687602.8 1246625.6)"
"1951","","Unterflurhydrant","Zweiarmig","1898","öffentlich","POINT (2681363.2 1247722.6)"
"1952","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681354.8 1247772.2)"
"1953","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681300.5 1247802.2)"
"1954","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681388.5 1247776.6)"
"1955","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681332.8 1247804)"
"1956","","Unterflurhydrant","Zweiarmig","1930","öffentlich","POINT (2681501.8 1247886)"
"1957","","Unterflurhydrant","Zweiarmig","1930","öffentlich","POINT (2681450.2 1247904.5)"
"1958","2553","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2681416.2 1247792.4)"
"1959","2049","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2685816.5 1247558.5)"
"1960","","Unterflurhydrant","Einarmig","1930","öffentlich","POINT (2681515 1247952)"
"1961","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2685828.8 1247423.9)"
"1962","2798","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2687045.2 1251089.6)"
"1963","","Unterflurhydrant","Zweiarmig","1977","öffentlich","POINT (2686950.8 1251214.4)"
"1964","2118","Oberflurhydrant","Zweiarmig","1994","öffentlich","POINT (2684262 1247467.5)"
"1965","","Unterflurhydrant","Zweiarmig","1906","öffentlich","POINT (2681049 1247456.6)"
"1966","1507","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2681134.5 1247450.8)"
"1967","1509","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2681177 1247487.6)"
"1968","1585","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2681251.2 1247452.6)"
"1969","","Unterflurhydrant","Zweiarmig","1983","öffentlich","POINT (2681257 1247475.8)"
"1970","","Unterflurhydrant","Zweiarmig","1897","öffentlich","POINT (2681186 1247572.9)"
"1971","","Unterflurhydrant","Zweiarmig","1899","öffentlich","POINT (2681235.2 1247614.5)"
"1972","","Unterflurhydrant","Zweiarmig","1899","öffentlich","POINT (2681278.2 1247650.8)"
"1973","","Unterflurhydrant","Zweiarmig","1909","öffentlich","POINT (2681221.2 1247678.5)"
"1974","","Unterflurhydrant","Zweiarmig","1909","öffentlich","POINT (2681167.8 1247702)"
"1975","1586","Oberflurhydrant","Zweiarmig","1988","öffentlich","POINT (2681145 1247610.8)"
"1976","","Unterflurhydrant","Zweiarmig","1895","öffentlich","POINT (2681213 1247742.2)"
"1977","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681192 1247867.5)"
"1978","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681117.5 1247800.6)"
"1979","","Unterflurhydrant","Zweiarmig","1919","öffentlich","POINT (2681142.8 1247752.9)"
"1980","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2681080.5 1247842.5)"
"1981","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681115.2 1247924)"
"1982","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681005.5 1247878)"
"1983","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2681277.2 1247836.4)"
"1984","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681200 1247890.6)"
"1985","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681163.5 1247916.5)"
"1986","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681160 1247897)"
"1987","","Unterflurhydrant","Zweiarmig","1981","öffentlich","POINT (2681254.8 1247830.9)"
"1988","528","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681098.8 1247960.2)"
"1989","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681064.5 1247955.8)"
"1990","531","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681156.2 1247974.8)"
"1991","532","Oberflurhydrant","Zweiarmig","2004","öffentlich","POINT (2681198.2 1248019)"
"1992","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681013.2 1247988)"
"1993","529","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2681050.8 1247987.5)"
"1994","1536","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2681206.8 1247820.1)"
"1995","496","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682845 1247351.5)"
"1996","497","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2682792.2 1247384)"
"1997","410","Oberflurhydrant","Zweiarmig","1984","öffentlich","POINT (2682881.5 1247412.1)"
"1998","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2685487.2 1247471.4)"
"1999","1175","Oberflurhydrant","Zweiarmig","1989","öffentlich","POINT (2685355 1247475.2)"
"2000","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2685389.2 1247541.1)"
"2001","312","Oberflurhydrant","Zweiarmig","1982","öffentlich","POINT (2682829.5 1247461.1)"
"2002","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2682894.2 1247486.5)"
"2003","2591","Oberflurhydrant","Zweiarmig","1996","öffentlich","POINT (2678665.2 1248910.1)"
"2004","","Unterflurhydrant","Zweiarmig","1982","öffentlich","POINT (2682959 1247503.1)"
"2005","","Unterflurhydrant","Zweiarmig","1970","öffentlich","POINT (2683000.5 1247503)"
"2006","1068","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2685352.8 1247390.4)"
"2007","1067","Oberflurhydrant","Zweiarmig","1986","öffentlich","POINT (2685282.2 1247451.4)"
"2008","1066","Oberflurhydrant","Zweiarmig","1987","öffentlich","POINT (2685232.2 1247503.8)"
