"objectid","oberflur_nummer","art_txt","subart_txt","verlegejahr","eigentuemer_txt","geometry"
"65","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2683381 1253311.1)"
"66","","Unterflurhydrant","Zweiarmig","1980","öffentlich","POINT (2683442.8 1253299)"
"67","","Unterflurhydrant","Zweiarmig","1944","öffentlich","POINT (2683620.8 1253029.6)"
"68","","Unterflurhydrant","Zweiarmig","1944","öffentlich","POINT (2683662 1252986.9)"
"69","","Unterflurhydrant","Zweiarmig","1959","öffentlich","POINT (2683871 1253115.6)"
"70","","Unterflurhydrant","Zweiarmig","1948","öffentlich","POINT (2683868 1253263.6)"
"71","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2683445.8 1253453.6)"
"72","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2683479 1253502)"
"73","","Unterflurhydrant","Zweiarmig","1949","öffentlich","POINT (2683518.5 1253529.6)"
"74","1945","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2683468.8 1253717.4)"
"75","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2683994.2 1253112.1)"
"76","","Unterflurhydrant","Zweiarmig","1976","öffentlich","POINT (2684015.5 1253085.9)"
"77","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2684076 1253045)"
"78","","Unterflurhydrant","Zweiarmig","1975","öffentlich","POINT (2684158.2 1253026)"
"79","","Unterflurhydrant","Zweiarmig","1892","öffentlich","POINT (2684037.2 1253180.6)"
"80","","Unterflurhydrant","Zweiarmig","1971","öffentlich","POINT (2683913.2 1253171.1)"
"81","","Unterflurhydrant","Zweiarmig","1973","öffentlich","POINT (2683970.2 1253240.8)"
"82","","Unterflurhydrant","Zweiarmig","1955","öffentlich","POINT (2684001.2 1253293)"
"83","","Unterflurhydrant","Zweiarmig","1955","öffentlich","POINT (2684045.2 1253338.8)"
"84","1967","Oberflurhydrant","Zweiarmig","1990","öffentlich","POINT (2683825 1252722.5)"
"85","","Unterflurhydrant","Zweiarmig","1979","öffentlich","POINT (2684261 1253030.6)"
"86","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2683714.5 1253579.6)"
"87","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2683657.2 1253559.6)"
"88","","Unterflurhydrant","Zweiarmig","1966","öffentlich","POINT (2683898 1253560.9)"
"89","1997","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2683740 1253718.9)"
"90","1996","Oberflurhydrant","Zweiarmig","1992","öffentlich","POINT (2683778.8 1253780.5)"
"91","","Unterflurhydrant","Zweiarmig","1946","öffentlich","POINT (2683287.5 1253363.4)"
"92","","Unterflurhydrant","Zweiarmig","1946","öffentlich","POINT (2683238 1253426.4)"
"93","","Unterflurhydrant","Zweiarmig","1946","öffentlich","POINT (2683270.8 1253465)"
"94","2546","Oberflurhydrant","Zweiarmig","1993","öffentlich","POINT (2679689.2 1247216.1)"
"95","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2683267.8 1253519.6)"
"96","","Unterflurhydrant","Zweiarmig","1956","öffentlich","POINT (2683200.2 1253529.4)"
"97","","Unterflurhydrant","Zweiarmig","1974","öffentlich","POINT (2683169.5 1253714.9)"
